---
# FILENAME: New Recording 14.txt
---
# Transcript for New Recording 14.m4a
# Language: ru, prob=1.00

[   0.00 -    2.32] Сказывал, да, получается, такие вещи.
[   3.56 -    7.72] То есть вроде бы 4 дня мало, 5 дней, окей.
[   7.72 -   10.76] Но все время зарегулированные 5 дней.
[  11.76 -   12.92] Тоже не окей.
[  13.40 -   15.96] То есть надо отдавать какой-то...
[  16.76 -   17.92] Какие-то дырки.
[  18.76 -   20.44] Но как-то так мы с ней решили.
[  21.84 -   23.12] Это первое.
[  23.12 -   23.96] Второе.
[  25.16 -   26.56] Мы поднимаем цены.
[  27.28 -   28.28] И посмотрим.
[  29.24 -   30.96] Что из этого получится.
[  31.72 -   33.84] И мы решили поднять цену.
[  36.00 -   37.80] Включая поездку.
[  37.80 -   39.80] Туда будет входить поездка.
[  39.80 -   40.96] Колбавра Алто.
[  42.12 -   43.64] 1550.
[  48.00 -   48.84] Посмотрим.
[  48.84 -   51.64] Потому что сейчас, все, кто едет,
[  51.64 -   56.08] они уже, либо люди, как мы с тобой говорили, состоятельные.
[  56.08 -   57.84] Либо что-то еще, но еще посмотрим.
[  58.84 -   60.04] Нет так нет.
[  62.60 -   63.72] Третий момент.
[  63.72 -   68.72] У нас примерно сложилось, очень кратко, конечно, бесподробностей.
[  71.64 -   73.96] Как мы будем ходить.
[  77.64 -   80.00] Тема остается, как я тебе говорила, да?
[  80.84 -   81.84] Ардыко.
[  81.84 -   96.87] Конечно, написала мне.
[  96.87 -   98.87] Первый день 15 октября.
[  98.87 -   99.87] Правой берег.
[ 101.70 -  103.22] Дынье Легор.
[ 192.28 -  193.56] Я могу тут прикинуть и сказать,
[ 193.56 -  195.04] «Не, вот здесь мы не будем, здесь мы не будем,
[ 195.04 -  196.52] здесь мы не будем, это не интересно».
[ 196.52 -  198.28] Можно так или не так.
[ 198.28 -  201.24] Как тебе ближе, я пойду любовно задать этот способ?
[ 201.24 -  203.08] Давай ты сделаешь, а я...
[ 203.08 -  206.80] Но там скорее всего будет много мимо, я сделаю,
[ 206.80 -  209.24] но там будет вы скажете «нет, вот это мимо, это мимо, это мимо,
[ 209.24 -  210.24] это...»
[ 210.24 -  219.30] На этом не буду смотреть.
[ 219.30 -  221.30] Можно еще, подожди, знаешь, можно?
[ 221.30 -  222.30] Давай я разверну.
[ 222.30 -  223.30] Можно же.
[ 223.30 -  227.10] Как думаешь, можно я сейчас попробую дёрнуть Наташу?
[ 227.10 -  229.10] Прям сейчас.
[ 229.10 -  231.10] Пусть иногда ты скажешь голос.
[ 231.10 -  233.10] Я с ним в нормальных отношениях.
[ 233.10 -  235.10] Да, нет, ты спроси, когда я позвоню,
[ 235.10 -  237.10] потому что она же работает.
[ 237.10 -  238.10] Она работает.
[ 238.10 -  240.35] Хорошо, я не буду.
[ 248.26 -  250.54] Потому что все-таки немножко подразвернуть мне кажется
[ 250.54 -  251.54] изначально стоит.
[ 251.54 -  255.85] Что-то у меня есть такая интуиция просто.
[ 255.85 -  258.05] Знаешь, когда работаешь, очень часто по интуиции
[ 258.05 -  259.05] идешь.
[ 259.05 -  261.05] Вот у меня есть интуиция, что...
[ 261.05 -  263.05] А в общем, ты спроси, когда можно созвонить.
[ 263.05 -  265.05] Да, сейчас она мне не записана, она у меня есть.
[ 265.05 -  266.05] Вчати сейчас я найду.
[ 266.05 -  277.76] Сейчас я, Мошел, Люся, Саша, Южулия, клиника.
[ 277.76 -  281.71] О, вот она.
[ 281.71 -  291.36] Здравствуй.
[ 291.80 -  297.42] У тебя удобный голос.
[ 297.42 -  301.78] Недолго написал ей.
[ 301.78 -  304.78] А отправить тебе вот этот вот отбивку?
[ 304.78 -  306.78] Да, конечно, отправить мне отбивку.
[ 306.78 -  308.78] Я могу сам себя отправить.
[ 308.78 -  314.13] И если ты уже можешь прокомментировать ее?
[ 314.13 -  320.13] Я тебе могу прокомментировать следующий.
[ 320.13 -  324.13] Я не помню, что за музей мы говорили.
[ 324.13 -  326.13] Ну что ты-то, я же понимаю, что что знаешь.
[ 326.57 -  328.57] Сейчас я тебя отправлю.
[ 328.57 -  330.57] Я тебя отправлю куда?
[ 330.57 -  332.57] Ну уже в телеграмму.
[ 332.57 -  334.57] Телеграмму, которую паришь.
[ 334.57 -  336.57] Нет, я сейчас сделаю, что-то иначе.
[ 336.57 -  338.57] Сейчас в 1 секунду.
[ 338.57 -  340.57] Давай делаем паришь, продолжаем.
[ 340.57 -  342.57] Там же паришь.
[ 342.57 -  344.57] Сейчас.
[ 344.57 -  346.57] Плодить-то я не буду.
[ 346.57 -  348.57] Я думал, что надо убрать и заменить.
[ 348.57 -  350.57] Сейчас паришь в сентябре.
[ 350.57 -  352.57] Сейчас.
[ 352.57 -  358.28] Сначала.
[ 358.72 -  360.72] Да, с темп, потому что тут есть еще паризинформация.
[ 360.72 -  362.72] Я тогда переименую его просто в Париж.
[ 362.72 -  366.90] Да.
[ 366.90 -  369.90] Даже без 25 просто в Париж, потому что может быть 26, кстати.
[ 369.90 -  373.34] Да, и пожалуйста в Париж.
[ 373.34 -  383.69] Мне кажется, это не она ответила.
[ 383.69 -  385.69] Да, пожалуйста, прокомментируй, что знаешь.
[ 385.69 -  387.69] Так.
[ 387.69 -  393.37] Мы пойдем по потрясающим интерьером.
[ 393.37 -  395.37] Жан-2 Бенье и Ле-Гра.
[ 395.37 -  397.37] Не надо тебе прости.
[ 397.37 -  399.37] Я не хочу.
[ 399.37 -  401.37] Я не хочу.
[ 401.93 -  403.93] Не надо тебе правильно написать эти имена.
[ 403.93 -  405.93] Потому что, наверное, тебе будет че-нибудь искать.
[ 406.09 -  408.09] Принято.
[ 408.09 -  410.09] Мне не надо правильно написать имена.
[ 410.09 -  412.09] Я все разберусь.
[ 412.09 -  414.09] Не, здесь денье.
[ 414.09 -  416.09] Я разберусь.
[ 416.09 -  418.09] Или ей разберется.
[ 418.09 -  420.09] Ну да, это мастера.
[ 420.09 -  422.09] Особенно Денье.
[ 422.09 -  424.09] Это мастер такого парижского Шика.
[ 426.89 -  428.89] С манерой Арде Ко.
[ 428.89 -  432.89] так как представляет себе именно он, Парижанин.
[ 432.89 -  435.89] И это ордеко современное.
[ 435.89 -  439.03] Чего?
[ 439.03 -  441.03] Ок, я просто не знаю, что такое такое ордеко, но хорошо.
[ 441.03 -  444.03] Это ордеко, давай так, в современной интерпретации.
[ 444.03 -  447.03] Потому что ордеко есть принципы определенные.
[ 447.03 -  451.03] Это не только предметы ордеко, а это принципы.
[ 451.03 -  460.03] Это большие пространства, это большой декоративный уровень отделки.
[ 460.03 -  467.03] Это отобранные предметы, которые сделаны с большим устьерством.
[ 467.03 -  475.03] У него кроме новых предметов, которые он комплектует или наполняет свои интерьеры,
[ 475.03 -  481.03] у него всегда в интерьерах будет очень хорошие дорогие отношения.
[ 481.03 -  484.03] Да, про него разберемся. Выясни, что хотите.
[ 484.03 -  488.03] Легро. Мы будем рассматривать интерьеры и комментировать их.
[ 488.03 -  495.03] Мы будем в интерьерах смотреть секреты мастеров.
[ 495.03 -  497.03] Прямо на месте.
[ 497.03 -  502.03] На месте. Соотношения фактуры текстур, тонкости цвета,
[ 502.03 -  506.03] которые не видны ни в одной публикации.
[ 506.03 -  510.03] Пространственные взаимоотношения.
[ 510.03 -  512.03] Как это все?
[ 512.03 -  519.03] Да, стоит почерк мастера, сигначи.
[ 519.03 -  524.03] Почему мы узнаем? Да не еб, почему мы узнаем легро?
[ 524.03 -  530.03] За счет чего? Какие есть такие прямо сигначи?
[ 530.03 -  532.03] Вот манера.
[ 532.03 -  536.03] Потому что так или иначе многие стремятся к какому-то своему стилю.
[ 536.03 -  539.03] У этих мастеров стиль есть.
[ 539.03 -  544.03] Мастера, адепты, все-таки одного из самых главных стилей в Франции.
[ 544.03 -  549.03] Да, базара нет. Это здесь я чувствую себя относительно уверенно.
[ 549.03 -  554.03] Смотрим. Смотрим. Смотрим в живую. Смотрим в живую.
[ 554.03 -  557.03] Там не будет общения с кем-то людьми.
[ 557.03 -  562.03] То есть там не будет каких-то встречи с кем-то?
[ 562.03 -  564.03] Нет, встречи с кем-то не будет.
[ 564.03 -  567.03] Это мы договариваемся, что нас туда пускают.
[ 567.03 -  571.03] Мы сами комментируем это все.
[ 571.03 -  574.03] Возможно, у нас будет сопровождающий.
[ 574.03 -  578.03] А что получается, что он как-то локализован?
[ 578.03 -  582.03] Смотри, тот интерьер, который мы идем смотреть,
[ 582.03 -  588.03] это его архитнаминитый отель Налинский.
[ 588.03 -  591.03] Мы идем в отель Налинский.
[ 591.03 -  595.03] Вот у этого человека есть много историй.
[ 595.03 -  598.03] Мы идем в Налинский.
[ 598.03 -  600.03] Это все прогматически просто?
[ 600.03 -  604.03] Во-первых, это просто. Довольно просто в отель.
[ 604.03 -  606.03] В квартиру не проникнут никому.
[ 606.03 -  609.03] А по отелью, если я сейчас приду, в отель меня могут послать?
[ 609.03 -  615.03] На первой этаж-то пустят. В ресторан тебя пустят.
[ 615.03 -  619.03] Вам нужно посмотреть, как этот отель выглядит изнутри.
[ 620.03 -  624.03] Мы в прошлый раз договаривались, что нас пускают в номера.
[ 624.03 -  627.03] Мы так и планируем, что нас пускают в номера.
[ 627.03 -  632.03] Потому что там соль, почему отель очень хороший?
[ 632.03 -  634.03] Потому что они в себе соединяют.
[ 634.03 -  636.03] Можно как раз посмотреть там.
[ 636.03 -  638.03] И президент посмотреть, как самые бедные.
[ 638.03 -  640.03] В зависимости от того, какой номер будет свободен.
[ 640.03 -  643.03] Просто тут интересно взять вверх, взять низ.
[ 643.03 -  646.03] Да, но там нету большого, а там нету большой разницы.
[ 646.03 -  648.03] На Линске нет большой разницы.
[ 648.03 -  654.03] Там может различаться только квадратными метрами.
[ 654.03 -  657.03] Они все будут укомплектованы по высшему классу.
[ 657.03 -  658.03] Это очень интересно.
[ 658.03 -  659.03] Такой подход.
[ 659.03 -  660.03] То есть не все отели так работают?
[ 660.03 -  661.03] Нет.
[ 661.03 -  664.03] Не все отели так работают, но на Линске работают так.
[ 664.03 -  665.03] Очень интересно.
[ 665.03 -  667.03] То есть у них статус.
[ 667.03 -  669.03] Самый низ это и так уже вверх.
[ 669.03 -  671.03] Самый низ это и так уже вверх.
[ 671.03 -  673.03] Ты уже только метрами можешь танцевать?
[ 673.03 -  674.03] Да.
[ 674.03 -  677.03] И они будут отличаться исключительно квадратными метрами.
[ 677.03 -  679.03] В общем, это не дешевый отель получается?
[ 679.03 -  680.03] Нет.
[ 680.03 -  681.03] Дорогой отель, да?
[ 681.03 -  682.03] Не у или эгры?
[ 682.03 -  683.03] Дорогой отель.
[ 683.03 -  684.03] Да.
[ 684.03 -  687.03] Это дорогой отель.
[ 687.03 -  689.03] Это дорогой отель вообще.
[ 689.03 -  691.03] Все что касается, конечно, ордыко.
[ 691.03 -  695.03] Надо понимать, что это высокий сегмент.
[ 695.03 -  698.03] Настоящий ордыко – это высокий сегмент.
[ 698.03 -  699.03] Если мы говорим о том, что...
[ 699.03 -  700.03] Это элитка.
[ 700.03 -  701.03] Ордако – это элитка.
[ 701.03 -  702.03] Если мы хотим делать ордыко...
[ 702.03 -  705.03] Это даже не для хорошего средневокласса, честно говоря.
[ 705.03 -  706.03] Хрущевки, да.
[ 706.03 -  708.03] А мне кажется, даже не фрущевки.
[ 708.03 -  709.03] Нет, фрущевки нельзя.
[ 709.03 -  713.03] Нет, я имею в виду, что это даже не такой средневоклассный
[ 713.03 -  715.03] там, по-моему, в вышке такой пахнет.
[ 715.03 -  720.03] Вообще мы будем понимать, как бы цель нашего всего похода,
[ 720.03 -  725.03] понять вот это составляющий внутренний код ордыко,
[ 725.03 -  727.03] который сегодня везде у нас.
[ 727.03 -  730.03] То есть ордыко слово является очень-очень популярным
[ 730.03 -  732.03] даже среди заканщиков.
[ 732.03 -  733.03] Да, серьезно?
[ 733.03 -  734.03] Абсолютно.
[ 734.03 -  736.03] Я хочу квартиру из стиля ордыко.
[ 736.03 -  738.03] Да, это такое затертое, практически, понятие.
[ 738.03 -  739.03] Вау, я не знал.
[ 739.03 -  742.03] Ну и огромное количество заканщиков не понимают,
[ 742.03 -  744.03] что такое ордыко.
[ 744.03 -  748.03] Ну, они слышат, что это что-то такое приличное, красивое,
[ 748.03 -  752.03] интересное, но они не понимают, как и да, они могут,
[ 752.03 -  755.03] ну, как бы с таким заходом вообще к вам зайти.
[ 755.03 -  762.03] А декоратором и дизайнером нужно очень хорошо дать обратную связь.
[ 762.03 -  766.03] Да, я понял, ты как-то мне приходишь, скажи, я тебя правильно понял,
[ 766.03 -  770.03] я так-то мне приходишь, ты наслушивалась, что звучит очень красиво ордыко,
[ 770.03 -  772.03] это тоже важно, ну, звучит, я хочу ордыко,
[ 772.03 -  775.03] я не хочу поухал, я хочу ордыко, да?
[ 775.03 -  779.03] Ну, кстати, вот в твоей квартире, где вы живете,
[ 779.03 -  784.03] где вы живете, вполне себе можно сделать квартиру с элементами ордыко.
[ 784.03 -  788.03] Конечно, у нас одна из лучших квартир в Укорде, ну, правда, и в Дисклейне.
[ 788.03 -  792.03] Нет, потому что там есть очень важное качество, это объемы.
[ 792.03 -  793.03] Конечно.
[ 793.03 -  794.03] Для ордыко объемы.
[ 794.03 -  796.03] Не ссыпнись на рано, не ссыпнись на рано.
[ 796.03 -  798.03] Для ордыко объемы очень важные.
[ 798.03 -  801.03] Я сразу вкурил про эту квартиру, что одна из важнейших вещей.
[ 801.03 -  802.03] И она...
[ 802.03 -  803.03] Это вот это.
[ 803.03 -  808.03] Да, и она находится в историческом, да, я видела выше тоже,
[ 808.03 -  810.03] господи, я много раз видела.
[ 810.03 -  812.03] Да, я видела прямо в Москве, не, в Москве.
[ 812.03 -  815.03] Ну, конечно, видела, чего я только не видела, слушай.
[ 815.03 -  822.03] И еще там хорошая подоплёка, это всё-таки старый фонд.
[ 822.03 -  824.03] Да, да, этот дом ещё прекрасный.
[ 824.03 -  826.03] Но мне, кстати, знаешь что, мне сказал, если он встретил соседство...
[ 826.03 -  829.03] Там только можно было бы перепланировку сделать небольшую.
[ 829.03 -  830.03] Да, да.
[ 830.03 -  832.03] Чуть больше раскрыть дверные проёмы.
[ 832.03 -  835.03] Нет, слушай, там это очень хорошая основа, она прекрасна.
[ 835.03 -  837.03] Там холл хорошая, если его организовать.
[ 837.03 -  840.03] Я буду продавать очень хорошую квартиру.
[ 840.03 -  841.03] Она убитая, но я...
[ 841.03 -  843.03] Сколько они хотят с ней?
[ 843.03 -  844.03] А не сколько-то.
[ 844.03 -  845.03] Мне Илья объяснил очень...
[ 845.03 -  848.03] Илья, очень интересный человек, никак мыслую.
[ 848.03 -  853.03] Он очень спокойный, очень рассудительный.
[ 853.03 -  856.03] И при этом, ну как бы, человечный, он с нами человечный,
[ 856.03 -  857.03] нас омятели.
[ 857.03 -  858.03] Всё, есть так вот.
[ 858.03 -  859.03] И он...
[ 859.03 -  863.03] И он что-то Маша писал, там спрашивал, сколько стоит.
[ 863.03 -  865.03] Ну, не для себя, а там...
[ 865.03 -  868.03] Он правильно ответил, и потом мне повторил, что
[ 868.03 -  871.03] это всё не им лишать, что есть сайт.
[ 871.03 -  873.03] Какой-то там, это можно легко найти.
[ 873.03 -  876.03] И на самом деле, у всего есть уже вот,
[ 876.03 -  877.03] у этой квартиры, у той квартиры,
[ 877.03 -  880.03] у любой квартиры есть стандартная оценка
[ 880.03 -  882.03] по ментам и так далее.
[ 882.03 -  884.03] То есть это не...
[ 884.03 -  887.03] это не релторские игры вообще ни разу.
[ 887.03 -  888.03] Есть стандартная.
[ 888.03 -  889.03] Ну хорошо, стандартная.
[ 889.03 -  890.03] Вот эта квартира столько,
[ 890.03 -  892.03] что бы я не зарезал.
[ 892.03 -  894.03] Я не знаю, я не зарезал.
[ 894.03 -  897.03] Ну, хоть не подъёмные деньги вообще, точно.
[ 897.03 -  898.03] Да, я знаю, что...
[ 898.03 -  899.03] А он хочет продавать, да?
[ 899.03 -  900.03] Да-да-да.
[ 900.03 -  901.03] У него есть задача, у него есть задача,
[ 901.03 -  903.03] что он...
[ 903.03 -  905.03] Он хочет купить...
[ 905.03 -  906.03] Значит, что её продать,
[ 906.03 -  908.03] и купить свои дочери квартиры,
[ 908.03 -  911.03] которые взрослые сейчас становятся и так далее.
[ 911.03 -  913.03] У него есть мечта,
[ 913.03 -  916.03] чтобы он видеть, что люди...
[ 916.03 -  918.03] Как сказать?
[ 918.03 -  920.03] Сейчас объясняйте, довольно интересная ситуация.
[ 920.03 -  922.03] Значит, он видеть, что люди,
[ 922.03 -  925.03] большинство в эпотечном рабстве,
[ 925.03 -  926.03] как минимум в эпотечном,
[ 926.03 -  928.03] либо в эпотечном, кредитном, и так далее.
[ 928.03 -  931.03] И это не позволяет им быть самим собой,
[ 931.03 -  934.03] потому что приходится себя как-то сдерживать,
[ 934.03 -  937.03] какого-то дяденька и так далее.
[ 937.03 -  939.03] Он хочет, чтобы...
[ 939.03 -  940.03] Его дочь,
[ 940.03 -  942.03] её жизни, её проблемы, и так далее,
[ 942.03 -  943.03] но,
[ 943.03 -  945.03] чтобы у неё никогда не было никакого
[ 945.03 -  947.03] эпотечного рабства перед человеком.
[ 947.03 -  948.03] А я бы тоже так хотела.
[ 948.03 -  950.03] И он считает, что это даст некую
[ 950.03 -  952.03] внутреннюю свободу.
[ 952.03 -  953.03] Я бы тоже так хотела.
[ 953.03 -  954.03] Что я, на самом деле,
[ 954.03 -  955.03] не могла бы им прячь.
[ 955.03 -  956.03] Я всё прячусь.
[ 956.03 -  958.03] Всё, что это моя самая больная чека.
[ 958.03 -  960.03] Тебе не нужно лицемерить, потому что
[ 960.03 -  962.03] когда нужно не деньги,
[ 962.03 -  964.03] ты нужно лицемерить иногда.
[ 964.03 -  965.03] А тут, типа, вот...
[ 965.03 -  966.03] Ты в передней рост красишь.
[ 966.03 -  968.03] Поняла, короче, всем у нас...
[ 968.03 -  970.03] И вот, я вам хочу её продать
[ 970.03 -  972.03] и купить себе на старость
[ 972.03 -  973.03] одну ушку.
[ 973.03 -  975.03] И если ей получится двушку,
[ 975.03 -  976.03] или одну ушку тоже.
[ 976.03 -  977.03] И соответственно,
[ 977.03 -  979.03] если вот этот трёшок,
[ 979.03 -  981.03] она пойдёт на две квартиры ему.
[ 981.03 -  983.03] Ну, логично всё.
[ 983.03 -  984.03] Просто выросла.
[ 984.03 -  985.03] Есть какая-то штука
[ 985.03 -  986.03] со смертью Игоря,
[ 986.03 -  988.03] что я не тем был...
[ 988.03 -  989.03] Вероятно, это юридическая тема,
[ 989.03 -  991.03] что типа, три года нужно подождать.
[ 991.03 -  992.03] Что человек умирает,
[ 992.03 -  993.03] и ты не можешь сразу её...
[ 993.03 -  994.03] Да, да.
[ 994.03 -  995.03] Ты не можешь уже раздвинуть.
[ 995.03 -  996.03] Да, да, да, да.
[ 996.03 -  997.03] Аааа.
[ 997.03 -  998.03] Это юридическая тема.
[ 998.03 -  999.03] Только пораз...
[ 999.03 - 1000.03] Нет, не испытывай по этому поводу
[1000.03 - 1001.03] сантиметра.
[1001.03 - 1002.03] Знаешь, разным людям
[1002.03 - 1003.03] ведёт поразом.
[1003.03 - 1004.03] Там кому-то повезло с квартиры,
[1004.03 - 1005.03] но очень-само не повезло
[1005.03 - 1006.03] с какими-то другими вещами.
[1006.03 - 1007.03] Я хорошо знаю личные жизни людей
[1007.03 - 1008.03] и так далее.
[1008.03 - 1009.03] Как бы...
[1009.03 - 1010.03] И всё прочее.
[1010.03 - 1012.03] То есть поразомо всё.
[1012.03 - 1016.60] Мне кажется, за виду нельзя.
[1016.60 - 1017.60] Мы в своей ситуации, да,
[1017.60 - 1018.60] мы вот в такой вот вечно...
[1018.60 - 1020.60] Это не про зависти, это про...
[1020.60 - 1021.60] Голодный.
[1021.60 - 1022.60] Как это сказать?
[1022.60 - 1026.42] Как же это слово?
[1026.42 - 1027.42] Беспомощность.
[1027.42 - 1030.42] Да, беспомощность в определённом смысле.
[1030.42 - 1031.42] Но я тебе...
[1031.42 - 1032.42] Я почти утверждаю,
[1032.42 - 1033.42] что есть кучу людей,
[1033.42 - 1036.42] которые не испытывают нашего типа беспомощности.
[1036.42 - 1038.42] Они живут не с меньшим страданием
[1038.42 - 1040.42] по каким-либо другим причинам.
[1041.42 - 1042.42] Ну, возможно.
[1042.42 - 1043.42] Не-не-не, не возьму.
[1043.42 - 1044.42] И вот точно.
[1044.42 - 1045.42] Вот там ты и сказал,
[1045.42 - 1046.42] мне вот тоже очень всегда это не совпадало
[1046.42 - 1048.42] тем, почему как кому-то что-то
[1048.42 - 1049.42] достаётся, кому что-то нет.
[1049.42 - 1051.42] И как всё же...
[1051.42 - 1053.42] Мы ещё неплохие ситуации.
[1053.42 - 1055.42] Скажем, того качества общения,
[1055.42 - 1057.42] которое между нами есть,
[1057.42 - 1059.42] это довольно уникальная вещь.
[1059.42 - 1061.42] А почему это важно?
[1061.42 - 1064.42] Потому что очень часто родители
[1064.42 - 1066.42] здесь мне отлетают,
[1066.42 - 1067.42] они вообще как бы...
[1067.42 - 1068.42] Я знаю.
[1068.42 - 1069.42] И это драма для родителей.
[1069.42 - 1071.42] Можете, дети молодые фигня.
[1071.42 - 1072.42] Можете возьми Макса и куда-то...
[1072.42 - 1073.42] Дети молодые фигня.
[1073.42 - 1074.42] Макса или мило.
[1074.42 - 1076.42] Но матери...
[1076.42 - 1077.42] Ну, вон, посмотрите.
[1077.42 - 1078.42] Матери больно.
[1078.42 - 1079.42] Да.
[1079.42 - 1080.42] Сколько процентов случилось?
[1080.42 - 1081.42] 90?
[1081.42 - 1082.42] Понимаешь?
[1082.42 - 1083.42] Далеко ходить не надо.
[1083.42 - 1084.42] Макс не удалил.
[1084.42 - 1085.42] Как я понимаю,
[1085.42 - 1087.42] но я к тому, что Макс в этом смысле...
[1087.42 - 1090.42] Это лишь пример общей эпидемии.
[1090.42 - 1092.42] Эпидемия масштабная.
[1092.42 - 1093.42] Из того, что я вижу,
[1093.42 - 1096.42] разрыв между родителями-детьми,
[1096.42 - 1098.42] мощной,
[1098.42 - 1099.42] а для родителей он болезнен,
[1099.42 - 1101.42] даже для отцов часто болезнен.
[1101.42 - 1102.42] Для матери...
[1102.42 - 1104.42] Фигня, так и я к чему?
[1104.42 - 1105.42] Вот, окей, да,
[1105.42 - 1107.42] вот это суперголовники всякие.
[1107.42 - 1109.42] Но, слушай, у нас с тобой
[1109.42 - 1111.42] есть ополелные сокровища тоже.
[1111.42 - 1112.42] Согласна.
[1112.42 - 1113.42] Согласна.
[1113.42 - 1115.42] Поэтому все так, все странно.
[1115.42 - 1117.42] Слушай, а ты уже находишься
[1117.42 - 1118.42] в поисках квартиры?
[1118.42 - 1119.42] Или еще нет?
[1119.42 - 1120.42] Я нет.
[1120.42 - 1121.42] Маша, да.
[1121.42 - 1122.42] Я нет.
[1122.42 - 1123.42] А ты ниху не хочешь?
[1123.42 - 1124.42] Как ты же...
[1124.42 - 1125.42] Я...
[1125.42 - 1126.42] ...оективно участвуешь обычно в этом?
[1126.42 - 1127.42] Я как всегда...
[1127.42 - 1129.42] Ну, не всегда,
[1129.42 - 1131.42] периодически, когда у меня получается,
[1131.42 - 1133.42] когда его энергии как сейчас, например, да,
[1133.42 - 1136.42] я стараюсь в ситуацию
[1137.42 - 1139.42] входить
[1139.42 - 1141.42] полно, резко
[1141.42 - 1143.42] по делу.
[1143.42 - 1145.42] То есть, я не буду тянуть
[1145.42 - 1146.42] там и так далее, так и подобное.
[1146.42 - 1148.42] У меня случится какой-то
[1148.42 - 1150.42] момент, как вот этот,
[1150.42 - 1152.42] как Буковский, Don't Try.
[1152.42 - 1153.42] Я зайду.
[1153.42 - 1154.42] Будет хорошая сталь,
[1154.42 - 1155.42] будет плохой сталь.
[1155.42 - 1156.42] Я не знаю.
[1156.42 - 1158.42] Я не буду вовлить эту тему.
[1158.42 - 1160.42] Я сейчас не чувствую
[1160.42 - 1161.42] этот момент.
[1161.42 - 1162.42] Он постепенно подходит.
[1162.42 - 1163.42] Я просто хотела сказать,
[1163.42 - 1164.42] что если ты пока в ресурсе,
[1164.42 - 1166.42] может быть, тебе как раз на семью
[1166.42 - 1168.42] потратить, а не на...
[1168.42 - 1170.42] А у меня много что, слушай, у меня, например,
[1170.42 - 1172.42] я тут решил,
[1172.42 - 1174.42] что я помогу Эстер,
[1174.42 - 1176.42] если она сможет,
[1176.42 - 1177.42] если она сможет.
[1177.42 - 1179.42] Я помогу Эстер с экзаменом
[1179.42 - 1181.42] по-русски, мы с этим сочинением
[1181.42 - 1182.42] в декабрь, ну, да.
